"Year","County","Subject","AgeGroup","ResultsThreshold","TotalResultsCounty","PercentageResultsThresholdCounty","PercentageResultsThresholdEng"
2024,"Bedfordshire","English language","Aged 17 to 19","4 and above","  1,660","19.3","19.3"
2024,"Berkshire","English language","Aged 17 to 19","4 and above","  2,505","22.2","19.3"
2024,"Buckinghamshire","English language","Aged 17 to 19","4 and above","  1,575","24.4","19.3"
2024,"Cambridgeshire","English language","Aged 17 to 19","4 and above","  1,740","19","19.3"
2024,"Cheshire","English language","Aged 17 to 19","4 and above","  2,640","17.6","19.3"
2024,"Cornwall","English language","Aged 17 to 19","4 and above","    755","26.5","19.3"
2024,"County of Bristol","English language","Aged 17 to 19","4 and above","    930","18.8","19.3"
2024,"Cumbria","English language","Aged 17 to 19","4 and above","  1,005","19.4","19.3"
2024,"Derbyshire","English language","Aged 17 to 19","4 and above","  2,150","18.6","19.3"
2024,"Devon","English language","Aged 17 to 19","4 and above","  2,175","22.3","19.3"
2024,"Dorset","English language","Aged 17 to 19","4 and above","  1,045","20.1","19.3"
2024,"Durham","English language","Aged 17 to 19","4 and above","  1,810","19.6","19.3"
2024,"East Riding of Yorkshire","English language","Aged 17 to 19","4 and above","  1,410","14.5","19.3"
2024,"East Sussex","English language","Aged 17 to 19","4 and above","  1,630","22.4","19.3"
2024,"Essex","English language","Aged 17 to 19","4 and above","  4,105","18.5","19.3"
2024,"Gloucestershire","English language","Aged 17 to 19","4 and above","  1,740","21.6","19.3"
2024,"Greater London","English language","Aged 17 to 19","4 and above"," 20,100","23.8","19.3"
2024,"Greater Manchester","English language","Aged 17 to 19","4 and above","  9,130","17.9","19.3"
2024,"Hampshire","English language","Aged 17 to 19","4 and above","  3,805","20.8","19.3"
2024,"Herefordshire","English language","Aged 17 to 19","4 and above","    580","19","19.3"
2024,"Hertfordshire","English language","Aged 17 to 19","4 and above","  2,285","23","19.3"
2024,"Isle of Wight","English language","Aged 17 to 19","4 and above","    260","11.5","19.3"
2024,"Kent","English language","Aged 17 to 19","4 and above","  3,685","17.2","19.3"
2024,"Lancashire","English language","Aged 17 to 19","4 and above","  3,420","22.7","19.3"
2024,"Leicestershire","English language","Aged 17 to 19","4 and above","  2,215","24.8","19.3"
2024,"Lincolnshire","English language","Aged 17 to 19","4 and above","  3,030","15.3","19.3"
2024,"Merseyside","English language","Aged 17 to 19","4 and above","  3,855","17.6","19.3"
2024,"Norfolk","English language","Aged 17 to 19","4 and above","  1,715","22.2","19.3"
2024,"North Yorkshire","English language","Aged 17 to 19","4 and above","  2,680","15.5","19.3"
2024,"Northamptonshire","English language","Aged 17 to 19","4 and above","  2,395","16.5","19.3"
2024,"Northumberland","English language","Aged 17 to 19","4 and above","    460","14.1","19.3"
2024,"Nottinghamshire","English language","Aged 17 to 19","4 and above","  3,555","17","19.3"
2024,"Oxfordshire","English language","Aged 17 to 19","4 and above","  1,670","23.1","19.3"
2024,"Rutland","English language","Aged 17 to 19","4 and above","fewer than 25","50","19.3"
2024,"Shropshire","English language","Aged 17 to 19","4 and above","    685","22.6","19.3"
2024,"Somerset","English language","Aged 17 to 19","4 and above","  1,675","22.1","19.3"
2024,"South Yorkshire","English language","Aged 17 to 19","4 and above","  3,885","13.5","19.3"
2024,"Staffordshire","English language","Aged 17 to 19","4 and above","  3,325","16.4","19.3"
2024,"Suffolk","English language","Aged 17 to 19","4 and above","  1,530","20.3","19.3"
2024,"Surrey","English language","Aged 17 to 19","4 and above","  1,855","24.5","19.3"
2024,"Tyne and Wear","English language","Aged 17 to 19","4 and above","  2,450","17.3","19.3"
2024,"Warwickshire","English language","Aged 17 to 19","4 and above","  1,595","16","19.3"
2024,"West Midlands","English language","Aged 17 to 19","4 and above"," 10,570","16.8","19.3"
2024,"West Sussex","English language","Aged 17 to 19","4 and above","  2,050","15.1","19.3"
2024,"West Yorkshire","English language","Aged 17 to 19","4 and above","  7,445","14.8","19.3"
2024,"Wiltshire","English language","Aged 17 to 19","4 and above","  1,270","21.7","19.3"
2024,"Worcestershire","English language","Aged 17 to 19","4 and above","  1,350","21.5","19.3"
